C:\Users\vbansal\python_prog\self_driving_udemy\IMG\center_2021_04_22_18_16_39_714.jpg,C:\Users\vbansal\python_prog\self_driving_udemy\IMG\left_2021_04_22_18_16_39_714.jpg,C:\Users\vbansal\python_prog\self_driving_udemy\IMG\right_2021_04_22_18_16_39_714.jpg,0,0,0,17.81715
C:\Users\vbansal\python_prog\self_driving_udemy\IMG\center_2021_04_22_18_16_39_779.jpg,C:\Users\vbansal\python_prog\self_driving_udemy\IMG\left_2021_04_22_18_16_39_779.jpg,C:\Users\vbansal\python_prog\self_driving_udemy\IMG\right_2021_04_22_18_16_39_779.jpg,0,0,0,17.66781
C:\Users\vbansal\python_prog\self_driving_udemy\IMG\center_2021_04_22_18_16_39_861.jpg,C:\Users\vbansal\python_prog\self_driving_udemy\IMG\left_2021_04_22_18_16_39_861.jpg,C:\Users\vbansal\python_prog\self_driving_udemy\IMG\right_2021_04_22_18_16_39_861.jpg,0,0,0,17.51986
C:\Users\vbansal\python_prog\self_driving_udemy\IMG\center_2021_04_22_18_16_39_971.jpg,C:\Users\vbansal\python_prog\self_driving_udemy\IMG\left_2021_04_22_18_16_39_971.jpg,C:\Users\vbansal\python_prog\self_driving_udemy\IMG\right_2021_04_22_18_16_39_971.jpg,0,0,0,17.8609
C:\Users\vbansal\python_prog\self_driving_udemy\IMG\center_2021_04_22_18_16_40_037.jpg,C:\Users\vbansal\python_prog\self_driving_udemy\IMG\left_2021_04_22_18_16_40_037.jpg,C:\Users\vbansal\python_prog\self_driving_udemy\IMG\right_2021_04_22_18_16_40_037.jpg,0,0,0,17.22819
C:\Users\vbansal\python_prog\self_driving_udemy\IMG\center_2021_04_22_18_16_40_115.jpg,C:\Users\vbansal\python_prog\self_driving_udemy\IMG\left_2021_04_22_18_16_40_115.jpg,C:\Users\vbansal\python_prog\self_driving_udemy\IMG\right_2021_04_22_18_16_40_115.jpg,0,0,0,17.08451
C:\Users\vbansal\python_prog\self_driving_udemy\IMG\center_2021_04_22_18_16_40_186.jpg,C:\Users\vbansal\python_prog\self_driving_udemy\IMG\left_2021_04_22_18_16_40_186.jpg,C:\Users\vbansal\python_prog\self_driving_udemy\IMG\right_2021_04_22_18_16_40_186.jpg,0,0,0,16.94204
C:\Users\vbansal\python_prog\self_driving_udemy\IMG\center_2021_04_22_18_16_40_285.jpg,C:\Users\vbansal\python_prog\self_driving_udemy\IMG\left_2021_04_22_18_16_40_285.jpg,C:\Users\vbansal\python_prog\self_driving_udemy\IMG\right_2021_04_22_18_16_40_285.jpg,0,0,0,17.30339
C:\Users\vbansal\python_prog\self_driving_udemy\IMG\center_2021_04_22_18_16_40_393.jpg,C:\Users\vbansal\python_prog\self_driving_udemy\IMG\left_2021_04_22_18_16_40_393.jpg,C:\Users\vbansal\python_prog\self_driving_udemy\IMG\right_2021_04_22_18_16_40_393.jpg,0,0,0,16.59182
C:\Users\vbansal\python_prog\self_driving_udemy\IMG\center_2021_04_22_18_16_40_471.jpg,C:\Users\vbansal\python_prog\self_driving_udemy\IMG\left_2021_04_22_18_16_40_471.jpg,C:\Users\vbansal\python_prog\self_driving_udemy\IMG\right_2021_04_22_18_16_40_471.jpg,0,0,0,16.45421
